strain	isolate_id	host	date	region	country	division	virus
A/chicken/IA/24-037490-002-original/2024_H5N1	PV072282.1,PV072283.1,PV072284.1,PV072285.1,PV072286.1,PV072287.1,PV072288.1,PV072289.1	Chicken	2024-12-13	North America	USA	Iowa	H5N1
A/chicken/IA/24-037491-001-original/2024_H5N1	PV072290.1,PV072291.1,PV072292.1,PV072293.1,PV072294.1,PV072295.1,PV072296.1,PV072297.1	Chicken	2024-12-13	North America	USA	Iowa	H5N1
A/chicken/IA/24-037491-002-original/2024_H5N1	PV072298.1,PV072299.1,PV072300.1,PV072301.1,PV072302.1,PV072303.1,PV072304.1,PV072305.1	Chicken	2024-12-13	North America	USA	Iowa	H5N1
A/chicken/IA/25-003747-001-original/2025_H5N1	PV338977.1,PV338978.1,PV338979.1,PV338980.1,PV338981.1,PV338982.1,PV338983.1,PV338984.1	Chicken	2025-02-01	North America	USA	Iowa	H5N1
A/chicken/ID/24-036514-001-original-repeat2/2024_H5N1	PV161980.1,PV161981.1,PV161982.1,PV161983.1,PV161984.1,PV161985.1,PV161986.1,PV161987.1	Chicken	2024-12-06	North America	USA	Idaho	H5N1
A/chicken/ID/24-036523-001-original-repeat2/2024_H5N1	PV161988.1,PV161989.1,PV161990.1,PV161991.1,PV161992.1,PV161993.1,PV161994.1,PV161995.1	Chicken	2024-12-06	North America	USA	Idaho	H5N1
A/chicken/ID/24-037521-002-original/2024_H5N1	PV072306.1,PV072307.1,PV072308.1,PV072309.1,PV072310.1,PV072311.1,PV072312.1,PV072313.1	Chicken	2024-12-12	North America	USA	Idaho	H5N1
A/chicken/ID/25-000072-001-original/2024_H5N1	PV162004.1,PV162005.1,PV162006.1,PV162007.1,PV162008.1,PV162009.1,PV162010.1,PV162011.1	Chicken	2024-12-26	North America	USA	Idaho	H5N1
A/chicken/ID/25-000073-001-original/2024_H5N1	PV162012.1,PV162013.1,PV162014.1,PV162015.1,PV162016.1,PV162017.1,PV162018.1,PV162019.1	Chicken	2024-12-26	North America	USA	Idaho	H5N1
A/chicken/ID/25-000074-001-original/2024_H5N1	PV162020.1,PV162021.1,PV162022.1,PV162023.1,PV162024.1,PV162025.1,PV162026.1,PV162027.1	Chicken	2024-12-29	North America	USA	Idaho	H5N1
A/chicken/ID/25-000539-001-original/2025_H5N1	PV162028.1,PV162029.1,PV162030.1,PV162031.1,PV162032.1,PV162033.1,PV162034.1,PV162035.1	Chicken	2025-01-06	North America	USA	Idaho	H5N1
A/chicken/ID/25-001347-001-original/2025_H5N1	PV219022.1,PV219023.1,PV219024.1,PV219025.1,PV219026.1,PV219027.1,PV219028.1,PV219029.1	Chicken	2025-XX-XX	North America	USA	Idaho	H5N1
A/chicken/ID/25-003245-001-original/2025_H5N1	PV338985.1,PV338986.1,PV338987.1,PV338988.1,PV338989.1,PV338990.1,PV338991.1,PV338992.1	Chicken	2025-01-27	North America	USA	Idaho	H5N1
A/chicken/ID/25-003245-002-original/2025_H5N1	PV338993.1,PV338994.1,PV338995.1,PV338996.1,PV338997.1,PV338998.1,PV338999.1,PV339000.1	Chicken	2025-01-27	North America	USA	Idaho	H5N1
A/chicken/IN/25-002875-001-original/2025_H5N1	PV339001.1,PV339002.1,PV339003.1,PV339004.1,PV339005.1,PV339006.1,PV339007.1,PV339008.1	Chicken	2025-01-25	North America	USA	Indiana	H5N1
A/chicken/IN/25-002875-003-original/2025_H5N1	PV339009.1,PV339010.1,PV339011.1,PV339012.1,PV339013.1,PV339014.1,PV339015.1,PV339016.1	Chicken	2025-01-25	North America	USA	Indiana	H5N1
A/chicken/KS/24-035703-001-original/2024_H5N1	PQ892947.1,PQ892948.1,PQ892949.1,PQ892950.1,PQ892951.1,PQ892952.1,PQ892953.1,PQ892954.1	Chicken	2024-12-02	North America	USA	Kansas	H5N1
A/chicken/KS/24-035703-002-original/2024_H5N1	PQ892955.1,PQ892956.1,PQ892957.1,PQ892958.1,PQ892959.1,PQ892960.1,PQ892961.1,PQ892962.1	Chicken	2024-12-02	North America	USA	Kansas	H5N1
A/chicken/KS/24-038163-001-original/2024_H5N1	PV072314.1,PV072315.1,PV072316.1,PV072317.1,PV072318.1,PV072319.1,PV072320.1,PV072321.1	Chicken	2024-12-16	North America	USA	Kansas	H5N1
A/chicken/KS/24-038592-001-original/2024_H5N1	PV162036.1,PV162037.1,PV162038.1,PV162039.1,PV162040.1,PV162041.1,PV162042.1,PV162043.1	Chicken	2024-12-23	North America	USA	Kansas	H5N1
A/chicken/KS/24-038592-002-original/2024_H5N1	PV162044.1,PV162045.1,PV162046.1,PV162047.1,PV162048.1,PV162049.1,PV162050.1,PV162051.1	Chicken	2024-12-23	North America	USA	Kansas	H5N1
A/chicken/KS/24-038653-001-original/2024_H5N1	PV162052.1,PV162053.1,PV162054.1,PV162055.1,PV162056.1,PV162057.1,PV162058.1,PV162059.1	Chicken	2024-12-26	North America	USA	Kansas	H5N1
A/chicken/KS/24-038653-002-original/2024_H5N1	PV162060.1,PV162061.1,PV162062.1,PV162063.1,PV162064.1,PV162065.1,PV162066.1,PV162067.1	Chicken	2024-12-26	North America	USA	Kansas	H5N1
A/chicken/KS/24-038657-001-original/2024_H5N1	PV162068.1,PV162069.1,PV162070.1,PV162071.1,PV162072.1,PV162073.1,PV162074.1,PV162075.1	Chicken	2024-12-26	North America	USA	Kansas	H5N1
A/chicken/KS/25-000969-001-original/2025_H5N1	PV219046.1,PV219047.1,PV219048.1,PV219049.1,PV219050.1,PV219051.1,PV219052.1,PV219053.1	Chicken	2025-XX-XX	North America	USA	Kansas	H5N1
A/chicken/LA/24-037003-001-original/2024_H5N1	PQ859338.1,PQ859339.1,PQ859340.1,PQ859341.1,PQ859342.1,PQ859343.1,PQ859344.1,PQ859345.1	Chicken	2024-12-09	North America	USA	Louisiana	H5N1
A/chicken/LA/24-037801-001-original/2024_H5N1	PQ859346.1,PQ859347.1,PQ859348.1,PQ859349.1,PQ859350.1,PQ859351.1,PQ859352.1,PQ859353.1	Chicken	2024-12-09	North America	USA	Louisiana	H5N1
A/chicken/LA/24-037801-002-original/2024_H5N1	PQ859354.1,PQ859355.1,PQ859356.1,PQ859357.1,PQ859358.1,PQ859359.1,PQ859360.1,PQ859361.1	Chicken	2024-12-09	North America	USA	Louisiana	H5N1
A/chicken/LA/24-037801-003-original/2024_H5N1	PQ859362.1,PQ859363.1,PQ859364.1,PQ859365.1,PQ859366.1,PQ859367.1,PQ859368.1,PQ859369.1	Chicken	2024-12-09	North America	USA	Louisiana	H5N1
A/chicken/LA/24-037801-004-original/2024_H5N1	PQ859370.1,PQ859371.1,PQ859372.1,PQ859373.1,PQ859374.1,PQ859375.1,PQ859376.1,PQ859377.1	Chicken	2024-12-09	North America	USA	Louisiana	H5N1
A/chicken/MD/25-001055-001-original/2025_H5N1	PV219054.1,PV219055.1,PV219056.1,PV219057.1,PV219058.1,PV219059.1,PV219060.1,PV219061.1	Chicken	2025-XX-XX	North America	USA	Maryland	H5N1
A/chicken/MD/25-001055-002-original/2025_H5N1	PV219062.1,PV219063.1,PV219064.1,PV219065.1,PV219066.1,PV219067.1,PV219068.1,PV219069.1	Chicken	2025-XX-XX	North America	USA	Maryland	H5N1
A/chicken/MD/25-001495-001-original/2025_H5N1	PV219070.1,PV219071.1,PV219072.1,PV219073.1,PV219074.1,PV219075.1,PV219076.1,PV219077.1	Chicken	2025-XX-XX	North America	USA	Maryland	H5N1
A/chicken/MD/25-001495-002-original/2025_H5N1	PV219078.1,PV219079.1,PV219080.1,PV219081.1,PV219082.1,PV219083.1,PV219084.1,PV219085.1	Chicken	2025-XX-XX	North America	USA	Maryland	H5N1
